movieId,title,genres,titles
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,toy story 
1,Jumanji (1995),Adventure|Children|Fantasy,jumanji 
2,Grumpier Old Men (1995),Comedy|Romance,grumpier old men 
3,Waiting to Exhale (1995),Comedy|Drama|Romance,waiting to exhale 
4,Father of the Bride Part II (1995),Comedy,father of the bride part ii 
5,Heat (1995),Action|Crime|Thriller,heat 
6,Sabrina (1995),Comedy|Romance,sabrina 
7,Tom and Huck (1995),Adventure|Children,tom and huck 
8,Sudden Death (1995),Action,sudden death 
9,GoldenEye (1995),Action|Adventure|Thriller,goldeneye 
10,"American President, The (1995)",Comedy|Drama|Romance,american president
11,Dracula: Dead and Loving It (1995),Comedy|Horror,dracula: dead and loving it 
12,Balto (1995),Adventure|Animation|Children,balto 
13,Nixon (1995),Drama,nixon 
14,Cutthroat Island (1995),Action|Adventure|Romance,cutthroat island 
15,Casino (1995),Crime|Drama,casino 
16,Sense and Sensibility (1995),Drama|Romance,sense and sensibility 
17,Four Rooms (1995),Comedy,four rooms 
18,Ace Ventura: When Nature Calls (1995),Comedy,ace ventura: when nature calls 
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,money train 
20,Get Shorty (1995),Comedy|Crime|Thriller,get shorty 
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,copycat 
22,Assassins (1995),Action|Crime|Thriller,assassins 
23,Powder (1995),Drama|Sci-Fi,powder 
24,Leaving Las Vegas (1995),Drama|Romance,leaving las vegas 
25,Othello (1995),Drama,othello 
26,Now and Then (1995),Children|Drama,now and then 
27,Persuasion (1995),Drama|Romance,persuasion 
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,city of lost children
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,shanghai triad 
30,Dangerous Minds (1995),Drama,dangerous minds 
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,twelve monkeys 
32,Babe (1995),Children|Drama,babe 
33,Dead Man Walking (1995),Crime|Drama,dead man walking 
34,It Takes Two (1995),Children|Comedy,it takes two 
35,Clueless (1995),Comedy|Romance,clueless 
36,"Cry, the Beloved Country (1995)",Drama,cry
37,Richard III (1995),Drama|War,richard iii 
38,Dead Presidents (1995),Action|Crime|Drama,dead presidents 
39,Restoration (1995),Drama,restoration 
40,Mortal Kombat (1995),Action|Adventure|Fantasy,mortal kombat 
41,To Die For (1995),Comedy|Drama|Thriller,to die for 
42,How to Make an American Quilt (1995),Drama|Romance,how to make an american quilt 
43,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,seven 
44,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,pocahontas 
45,When Night Is Falling (1995),Drama|Romance,when night is falling 
46,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,usual suspects
47,Mighty Aphrodite (1995),Comedy|Drama|Romance,mighty aphrodite 
48,Lamerica (1994),Adventure|Drama,lamerica 
49,"Big Green, The (1995)",Children|Comedy,big green
50,Georgia (1995),Drama,georgia 
51,Home for the Holidays (1995),Drama,home for the holidays 
52,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,postman
